Subject,Status,Priority,Description
Уве: КП с панелями на обеих сторонах крыши,Open,High,"Ответственный: Максим Новоселов | Участники: Игорь Кожемяка, В. Баскаков | Исполнитель: Беатрисс. Готовим вариант с южной и второй стороной крыши, плюс навес как возможная доп. поверхность. Нужны высота дома и параметры навеса (в кадастре ли). После данных досчитываем, Игорь переводит на немецкий и отправляет."
"Новый клиент (в кредит, вопрос с CEDIS)",Open,High,"Ответственный: Беатрисс | Участники: Игорь Кожемяка, Максим Новоселов | Исполнитель: Беатрисс. С предложением согласен. Хочет, чтобы панели ставил CEDIS, а мы батареи и инвертор; объяснила, что проще всё у нас. К нему приедет CEDIS. Предложила наш выезд на объект для замера реальной мощности. Свяжемся в ближайшие дни. Хочет оборудование в кредит."
Закупка панелей (Италия),Open,High,"Ответственный: В. Баскаков | Участники: Игорь Кожемяка, Максим Новоселов | Исполнитель: В. Дранчук. Инвойс есть, панели доступны, отправка примерно через 2 недели после оплаты. Оплата после ясности по остальному оборудованию (см. АКБ/инверторы/автоматика)."
"АКБ, инверторы, автоматика (Бельгия)",Open,High,"Ответственный: В. Баскаков | Участники: Игорь Кожемяка, В. Дранчук | Исполнитель: В. Баскаков. Баскакову дать конкретику: какие АКБ и инверторы и сколько на склад. Дранчуку уточнить у поставщика наличие и совместную отправку. Известно: инверторы, АКБ и, возможно, автоматику отправить могут; кабеля у них нет. После ясности решение по оплате."
Финансовая политика закупок,Open,High,"Ответственный: Игорь Кожемяка | Участник: Олег Педанов | Исполнитель: Игорь Кожемяка. Прописать: что закупаем на перспективу, что только после предоплаты; на каком этапе сколько платит клиент и какие оплаты разрешают переход к следующему этапу. Нужно Педанову для ERP."
Описать роль Координатор закупок,Open,Medium,"Ответственный: Игорь Кожемяка | Участник: Олег Педанов | Исполнитель: Игорь Кожемяка. Расписать функции роли и документы (вход/выход, от кого получает, кому передаёт): координатор закупок - вводные от РП - финотдел, согласование - закупщик - поставщик - счёт - оплата - оформление груза - доставка - растаможка - склад. Педанову завести в ERP."
Анализ закрытых сделок для прогноза закупок,Open,Medium,"Ответственный: Игорь Кожемяка | Участники: В. Баскаков, Максим Новоселов | Исполнитель: Игорь Кожемяка. Баскаков передаёт Игорю закрытые КП, Игорь делает анализ продаж - на его основе прогнозируем, что держать на складе."
"Внести данные в ERP (клиенты, поставщики, оборудование, закупки)",Open,High,"Ответственный: Олег Педанов | Участники: В. Баскаков, Игорь Кожемяка | Исполнитель: В. Баскаков. Педанову дать Баскакову инструкцию, как и куда вносить. Срочное: занести материалы из Оков и Кипс - это блокирует выезды к Денису и Нехаду для запуска станций. Политика расхода материалов ещё не согласована; инструкцию по разделам Закупки и Склад Педанов подготовит."
Прайс по закупкам в Черногории,Open,Low,"Ответственный: В. Баскаков | Участник: Игорь Кожемяка | Исполнитель: В. Баскаков. Прайс по покупкам в ЧГ сведён (выполнено), дальше пополняется по мере новых покупок."
Монах: инвертор и автоматика,Open,Medium,"Ответственный: Максим Новоселов | Участники: Игорь Кожемяка, В. Баскаков, В. Дранчук | Исполнитель: Максим Новоселов. Заказываем инверторы (15+15 или 15+20 кВт) после первой предоплаты клиента. Дранчуку уточнить у Баскакова, подходят ли предохранители Projoy PEDF-1000 (1000 В DC / 30 А)."
Склад: питание камер и монтаж,Open,Medium,"Ответственный: Игорь Кожемяка | Участники: Олег Педанов, В. Баскаков | Исполнитель: Максим Новоселов. Выбрать между POE-коммутатором (Педанов) и двумя блоками питания 12 В (Максим), докупить недостающее (симка с интернетом, регистратор, маршрутизатор, диски). Настройку Педанов берёт на себя."
Верификация страницы Facebook,Open,Medium,"Ответственный: Игорь Кожемяка | Участники: Олег Педанов, Кирилл | Исполнитель: Кирилл. Кириллу разобраться, что нужно для верификации; Игорь на связи. Пока не пройдём - не заработает импорт лидов в CRM."
Инструкция по приложению мониторинга станции,Open,Medium,"Ответственный: Максим Новоселов | Участник: В. Баскаков | Исполнитель: Максим Новоселов. Приложение для удалённого мониторинга и управления станцией. Русская версия готова. После замечаний Баскакова - версии на черногорском и английском, отправляем клиентам (нужно к запуску у Дениса и Нехада)."
Юрист: передать типовые модели проектов,Open,Medium,"Ответственный: Олег Педанов | Участник: Игорь Кожемяка | Исполнители: Максим Новоселов, В. Дранчук. Собрать перечень типовых станций (тип объекта, мощность, подключение к сети/режим просьюмера, техособенности) и передать юристу - он ждёт это для оценки сроков и стоимости первых двух этапов."
Реферальная программа 5% к оборудованию и монтажу,Open,Low,"Ответственный: Игорь Кожемяка | Участники: Беатрисс, В. Баскаков, Олег Педанов | Исполнитель: Максим Новоселов. Сначала согласовать с бухгалтерией и юристом (или продумать способ выплаты), затем посчитать 5%, заложить в цену и описать условия."
Банковский счёт Баскакова,Open,Low,"Ответственный: Игорь Кожемяка | Участник: Беатрисс | Исполнитель: В. Баскаков. Документы поданы в банк, ждём готовности счёта и подтверждаем в чате."
Сквозной процесс: реакции о прочтении файла,Open,Medium,"Ответственный: Игорь Кожемяка | Исполнители: Максим Новоселов, В. Баскаков, В. Дранчук, Олег Педанов, Кирилл, Беатрисс. Срок 15.09. Дособрать реакции от тех, кто ещё не отметился, после этого вернуться к теме."
